type, player, team, period, time, assist
goal, null, belarus, null, null, null
goal, null, belarus, null, null, null
goal, null, belarus, null, null, null
goal, null, belarus, null, null, null
goal, null, belarus, null, null, null
goal, null, belarus, null, null, null
goal, null, belarus, null, null, null
goal, null, belarus, null, null, null
goal, null, belarus, null, null, null
goal, null, belarus, null, null, null
goal, null, belarus, null, null, null
goal, null, belarus, null, null, null
goal, null, newlowell, null, null, null
goal, null, newlowell, null, null, null
